old_name,new_name
DUID,panel_encrypted_du_identifier
PID,person_number_portion_of_persid
DUPERSID,person_id_duid_pid
PANEL,panel_number
DATAYEAR,survey_data_year
FAMID31,family_id_student_merged_in_r3_1
FAMID42,family_id_student_merged_in_r4_2
FAMID53,family_id_student_merged_in_r5_3
FAMID22,family_id_student_merged_in_12_31_22
FAMIDYR,annual_family_identifier
CPSFAMID,cps_like_family_identifier
FCSZ1231,fam_size_responding_12_31_cps_family
FCRP1231,ref_person_of_12_31_cps_family
RULETR31,ru_letter_r3_1
RULETR42,ru_letter_r4_2
RULETR53,ru_letter_r5_3
RULETR22,ru_letter_as_of_12_31_22
RUSIZE31,ru_size_r3_1
RUSIZE42,ru_size_r4_2
RUSIZE53,ru_size_r5_3
RUSIZE22,ru_size_as_of_12_31_22
RUCLAS31,ru_fielded_as_standard_new_student_r3_1
RUCLAS42,ru_fielded_as_standard_new_student_r4_2
RUCLAS53,ru_fielded_as_standard_new_student_r5_3
RUCLAS22,ru_fielded_as_standard_new_stud_12_31_22
FAMSZE31,ru_size_including_students_r3_1
FAMSZE42,ru_size_including_students_r4_2
FAMSZE53,ru_size_including_students_r5_3
FAMSZE22,ru_size_including_student_as_of_12_31_22
FMRS1231,member_of_responding_12_31_family
FAMS1231,family_size_of_responding_12_31_family
FAMSZEYR,size_of_responding_annualized_family
FAMRFPYR,reference_person_of_annualized_family
REGION31,census_region_r3_1
REGION42,census_region_r4_2
REGION53,census_region_r5_3
REGION22,census_region_as_of_12_31_22
REFPRS31,reference_person_at_r3_1
REFPRS42,reference_person_at_r4_2
REFPRS53,reference_person_at_r5_3
REFPRS22,reference_person_as_of_12_31_22
RESP31,v_1st_respondent_indicator_for_r3_1
RESP42,v_1st_respondent_indicator_for_r4_2
RESP53,v_1st_respondent_indicator_for_r5_3
RESP22,v_1st_respondent_indicator_as_of_12_31_22
PROXY31,was_respondent_a_proxy_in_r3_1
PROXY42,was_respondent_a_proxy_in_r4_2
PROXY53,was_respondent_a_proxy_in_r5_3
PROXY22,was_respondent_a_proxy_as_of_12_31_22
INTVLANG,language_interview_was_completed
INTVTYPE31,was_interview_in_person_by_phone_or_by_video_r3_1
INTVTYPE42,was_interview_in_person_by_phone_or_by_video_r4_2
INTVTYPE53,was_interview_in_person_by_phone_or_by_video_r5_3
BEGRFM31,r3_1_reference_period_begin_date_month
BEGRFY31,r3_1_reference_period_begin_date_year
ENDRFM31,r3_1_reference_period_end_date_month
ENDRFY31,r3_1_reference_period_end_date_year
