old_name,new_name
DUID,panel_encrypted_du_id
PID,person_number
DUPERSID,person_id
CONDN,condition_number
CONDIDX,condition_id
PANEL,panel_number
CONDRN,condition_round_number
AGEDIAG,age_when_diagnosed
CRND1,cond_info_round1
CRND2,cond_info_round2
CRND3,cond_info_round3
CRND4,cond_info_round4
CRND5,cond_info_round5
CRND6,cond_info_round6
CRND7,cond_info_round7
CRND8,cond_info_round8
CRND9,cond_info_round9
INJURY,injury_due_to_accident
ACCDNWRK,accident_occurred_at_work
ICD10CDX,icd10_code
CCSR1X,ccsr_code1
CCSR2X,ccsr_code2
CCSR3X,ccsr_code3
CCSR4X,ccsr_code4
HHCOND,any_home_health_events
IPCOND,any_inpatient_events
OPCOND,any_outpatient_events
OBCOND,any_office_based_events
ERCOND,any_er_events
RXCOND,any_rx_medicines
PERWT22F,person_weight_2022
VARSTR,variance_stratum_2022
VARPSU,variance_psu_2022
