old_name,new_name
DUID,panel_encrypted_du_id
PID,person_number
DUPERSID,person_id
CONDN,condition_number
CONDIDX,condition_id
PANEL,panel_number
CONDRN,condition_round_number
AGEDIAG,age_when_diagnosed
CRND1,cond_info_round1
CRND2,cond_info_round2
CRND3,cond_info_round3
CRND4,cond_info_round4
CRND5,cond_info_round5
CRND6,cond_info_round6
CRND7,cond_info_round7
INJURY,injury_due_to_accident
ACCDNWRK,accident_occurred_at_work
ICD10CDX,icd10_code
CCSR1X,ccsr_code1
CCSR2X,ccsr_code2
CCSR3X,ccsr_code3
HHNUM,n_home_health_events
IPNUM,n_inpatient_events
OPNUM,n_outpatient_events
OBNUM,n_office_based_events
ERNUM,n_er_events
RXNUM,n_rx_medicines
PERWT20F,person_weight_2020
VARSTR,variance_stratum_2020
VARPSU,variance_psu_2020
